# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
5144                   	1.324317274671054e-06	8.245321663421977e-07	3.073852741934659e-06	3.868282253774101e-06	4.135215961516459e-08
5145                   	1.322655144549593e-06	8.215254066729667e-07	3.068631257805538e-06	3.863587161655358e-06	4.130785065494030e-08
5146                   	1.320994755921364e-06	8.185320090677251e-07	3.063434554156760e-06	3.858897274456516e-06	4.126357207373337e-08
5147                   	1.319336663575933e-06	8.155503498291422e-07	3.058265352178666e-06	3.854213292551027e-06	4.121932562699918e-08
5148                   	1.317680347889024e-06	8.125872481437016e-07	3.053106843007829e-06	3.849535322730470e-06	4.117510836466164e-08
5149                   	1.316025551288013e-06	8.096353940423465e-07	3.047938004830017e-06	3.844864087147132e-06	4.113092062817076e-08
5150                   	1.314372680744399e-06	8.066932936746651e-07	3.042750858194833e-06	3.840199620842282e-06	4.108676327280666e-08
5151                   	1.312721714964763e-06	8.037605199749799e-07	3.037549365634559e-06	3.835540929303268e-06	4.104263916907734e-08
5152                   	1.311072502983506e-06	8.008379533521842e-07	3.032339175405095e-06	3.830888928932984e-06	4.099854617563915e-08
5153                   	1.309425367284837e-06	7.979244663451310e-07	3.027151195617518e-06	3.826242387055324e-06	4.095448398378510e-08
5154                   	1.307779754030104e-06	7.950204482451795e-07	3.021967836838359e-06	3.821601190026906e-06	4.091045408853224e-08
5155                   	1.306135921728079e-06	7.921269935516914e-07	3.016820060581626e-06	3.816965915642278e-06	4.086645416303543e-08
5156                   	1.304494033396762e-06	7.892399255695727e-07	3.011694598786507e-06	3.812337335785833e-06	4.082248996554438e-08
5157                   	1.302853917725170e-06	7.863616030993897e-07	3.006567846041121e-06	3.807713986078978e-06	4.077856157325634e-08
5158                   	1.301215799182127e-06	7.834942718834420e-07	3.001443374813483e-06	3.803096021092902e-06	4.073466417679643e-08
5159                   	1.299579549373696e-06	7.806368672239084e-07	2.996322086341705e-06	3.798483303460648e-06	4.069079919779677e-08
5160                   	1.297945049941618e-06	7.777888382364208e-07	2.991207155240821e-06	3.793876379406740e-06	4.064697644907420e-08
5161                   	1.296312722134076e-06	7.749496241818300e-07	2.986099882485449e-06	3.789275804904359e-06	4.060318504727925e-08
5162                   	1.294682341624725e-06	7.721200484485212e-07	2.980937516304637e-06	3.784680634315153e-06	4.055942895772212e-08
5163                   	1.293053560368773e-06	7.693033836915434e-07	2.975889017384102e-06	3.780091054190067e-06	4.051568088436068e-08
5164                   	1.291426764713296e-06	7.664950917620347e-07	2.970891801907327e-06	3.775506745272070e-06	4.047194830968831e-08
5165                   	1.289802052679946e-06	7.636946849297169e-07	2.965900739343532e-06	3.770928250359471e-06	4.042824287883510e-08
5166                   	1.288179217930709e-06	7.609043888036826e-07	2.960877075046770e-06	3.766356919872271e-06	4.038456749520356e-08
5167                   	1.286558263056766e-06	7.581257715310197e-07	2.955795342786071e-06	3.761790854171344e-06	4.034092295517632e-08
5168                   	1.284938941663504e-06	7.553603059693415e-07	2.950688390657841e-06	3.757230464498718e-06	4.029730994073287e-08
5169                   	1.283321428609566e-06	7.526105391235348e-07	2.945578215950751e-06	3.752676317561690e-06	4.025373118350568e-08
