# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
4070                   	3.846643845596721e-06	2.548472444238413e-06	1.099941940842195e-05	1.012202329733380e-05	1.260619900599352e-07
4071                   	3.841548521681414e-06	2.548025561350210e-06	1.100265772644282e-05	1.011350276800493e-05	1.259258512968518e-07
4072                   	3.836445436201799e-06	2.548120372192960e-06	1.093950515921939e-05	1.010495236817394e-05	1.257905676926919e-07
4073                   	3.831358472815571e-06	2.547499252746713e-06	1.087334933187771e-05	1.009636439110328e-05	1.256561266314760e-07
4074                   	3.826294578668190e-06	2.546190078362833e-06	1.084815615809744e-05	1.008774469513905e-05	1.255220372137994e-07
4075                   	3.821247330465783e-06	2.544764043159697e-06	1.083626804452877e-05	1.007909067279716e-05	1.253879219798656e-07
4076                   	3.816207145647652e-06	2.543592116572789e-06	1.081563235526113e-05	1.007040371239756e-05	1.252535023691453e-07
4077                   	3.811171499657386e-06	2.542586721913035e-06	1.078210400169977e-05	1.006167905554745e-05	1.251188424698524e-07
4078                   	3.806140846955761e-06	2.541547314959970e-06	1.074724498421540e-05	1.005292273074648e-05	1.249840924825217e-07
4079                   	3.801116087222967e-06	2.540417998018171e-06	1.071634507365338e-05	1.004412839724386e-05	1.248493604356693e-07
4080                   	3.796099799119431e-06	2.539282482159388e-06	1.069259420383072e-05	1.003529587094049e-05	1.247146678308658e-07
4081                   	3.791091267059893e-06	2.538166922889393e-06	1.067558657309052e-05	1.002642741248852e-05	1.245799914986137e-07
4082                   	3.786094001557282e-06	2.537041761360706e-06	1.065852606415730e-05	1.001752238482739e-05	1.244453450443599e-07
4083                   	3.781105402196927e-06	2.535916833023856e-06	1.063758140244654e-05	1.000858275521030e-05	1.243105968442924e-07
4084                   	3.776124996489844e-06	2.534788788907888e-06	1.061286905411698e-05	9.999605367419737e-06	1.241756795164238e-07
4085                   	3.771152262475015e-06	2.533643313907057e-06	1.058649245701900e-05	9.990589173062611e-06	1.240406019727197e-07
4086                   	3.766188024767178e-06	2.532500776350388e-06	1.056110091766336e-05	9.981533525303330e-06	1.239053938330095e-07
4087                   	3.761231404079123e-06	2.531364151426313e-06	1.053791816512152e-05	9.972453315700368e-06	1.237700774973118e-07
4088                   	3.756284435783142e-06	2.530243755849975e-06	1.051804722565083e-05	9.963338191292178e-06	1.236346782350022e-07
4089                   	3.751346708780000e-06	2.529113601426617e-06	1.049916132415686e-05	9.954189877482933e-06	1.234992263681378e-07
4090                   	3.746416538224895e-06	2.527984059599328e-06	1.047787193556681e-05	9.945011194092401e-06	1.233636740377735e-07
4091                   	3.741494172424489e-06	2.526866796184055e-06	1.045496247441471e-05	9.935810294885199e-06	1.232279878279408e-07
4092                   	3.736579180152775e-06	2.525737198576834e-06	1.043180417714235e-05	9.926588165409434e-06	1.230921940506337e-07
4093                   	3.731673273671868e-06	2.524602635069512e-06	1.040707212866299e-05	9.917334570968554e-06	1.229562264175719e-07
4094                   	3.726773734785319e-06	2.523454312470291e-06	1.038360340655819e-05	9.908052393310248e-06	1.228201205360573e-07
4095                   	3.721883242703312e-06	2.522314106913797e-06	1.036114784444134e-05	9.898748008358018e-06	1.226838511971826e-07
4096                   	3.717000026985683e-06	2.521177533653886e-06	1.033950785145595e-05	9.889417852192667e-06	1.225474317241064e-07
4097                   	3.712125259846182e-06	2.520052553025117e-06	1.031838459684311e-05	9.880061344930790e-06	1.224108488457953e-07
4098                   	3.707258804403896e-06	2.518935494618744e-06	1.029731153450086e-05	9.870680443813474e-06	1.222740954643163e-07
