# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
5645                   	7.091124357735070e-06	4.362161721912065e-06	1.529760858911235e-05	3.856483714665011e-05	2.965410529622510e-07
5646                   	7.082996245772216e-06	4.356516319741613e-06	1.527636186688701e-05	3.851301636995972e-05	2.961903177696059e-07
5647                   	7.074878417665326e-06	4.350870984745702e-06	1.525514819497389e-05	3.846124015317654e-05	2.958398529682681e-07
5648                   	7.066769971513611e-06	4.345227250555548e-06	1.523397792283592e-05	3.840950905905666e-05	2.954896449941757e-07
5649                   	7.058672382816989e-06	4.339585412334066e-06	1.521283498531997e-05	3.835782363143778e-05	2.951396931163470e-07
5650                   	7.050585005407369e-06	4.333944238678229e-06	1.519171713068038e-05	3.830618336259460e-05	2.947899938123447e-07
5651                   	7.042507126849096e-06	4.328303884740018e-06	1.517063380892857e-05	3.825458848913128e-05	2.944405406187985e-07
5652                   	7.034439327342195e-06	4.322665577676233e-06	1.514957669249323e-05	3.820303898439817e-05	2.940913722052766e-07
5653                   	7.026381451617916e-06	4.317031475237474e-06	1.512854913946753e-05	3.815153541855251e-05	2.937425335235681e-07
5654                   	7.018334919184842e-06	4.311400217232206e-06	1.510754818851321e-05	3.810007673335089e-05	2.933940085086333e-07
5655                   	7.010297422200135e-06	4.305770443820218e-06	1.508657873641494e-05	3.804866319302657e-05	2.930457849967361e-07
5656                   	7.002270191009376e-06	4.300141114283523e-06	1.506563598138763e-05	3.799729594203683e-05	2.926978943873538e-07
5657                   	6.994253009743512e-06	4.294512104457302e-06	1.504471968952684e-05	3.794597473085852e-05	2.923502964434171e-07
5658                   	6.986246675789263e-06	4.288883490169052e-06	1.502383029187957e-05	3.789469884999091e-05	2.920029840775496e-07
5659                   	6.978250225734683e-06	4.283254099332116e-06	1.500296567458112e-05	3.784346838146736e-05	2.916559243790834e-07
5660                   	6.970264249593875e-06	4.277627213264225e-06	1.498212782195945e-05	3.779228302700857e-05	2.913091377232316e-07
5661                   	6.962289616832443e-06	4.272003817053376e-06	1.496131565075440e-05	3.774114311964778e-05	2.909626617348378e-07
5662                   	6.954326406295714e-06	4.266383779684455e-06	1.494053009887709e-05	3.769004968853208e-05	2.906164673486236e-07
5663                   	6.946372963934262e-06	4.260773158796891e-06	1.491977041412013e-05	3.763900144535697e-05	2.902705598946860e-07
5664                   	6.938428463169944e-06	4.255163959783701e-06	1.489903498541998e-05	3.758799844723916e-05	2.899249619627504e-07
5665                   	6.930492679381810e-06	4.249553564948813e-06	1.487833016777793e-05	3.753704148171268e-05	2.895796511413362e-07
5666                   	6.922565281351163e-06	4.243942817470360e-06	1.485765256735086e-05	3.748612996081523e-05	2.892345914139187e-07
5667                   	6.914648137940494e-06	4.238332762942321e-06	1.483700300424347e-05	3.743526418371694e-05	2.888898168272958e-07
5668                   	6.906740914240179e-06	4.232721904431944e-06	1.481637854084663e-05	3.738444356245964e-05	2.885453268389088e-07
5669                   	6.898843929950282e-06	4.227109564846236e-06	1.479578002322615e-05	3.733366832462279e-05	2.882011390670079e-07
5670                   	6.890957805602241e-06	4.221497892553081e-06	1.477520598647982e-05	3.728293921850992e-05	2.878572411183054e-07
5671                   	6.883082632328434e-06	4.215885188223021e-06	1.475465565072488e-05	3.723225583005098e-05	2.875136118135996e-07
5672                   	6.875215707696532e-06	4.210272512876759e-06	1.473413184549230e-05	3.718161807762097e-05	2.871702388821605e-07
5673                   	6.867357333582711e-06	4.204661013933643e-06	1.471363828053306e-05	3.713102569692292e-05	2.868271519811739e-07
5674                   	6.859509444809379e-06	4.199049817947815e-06	1.469318617328760e-05	3.708047821806681e-05	2.864843329381910e-07
5675                   	6.851669556451419e-06	4.193438817456979e-06	1.467275912623601e-05	3.702997560588518e-05	2.861417986086058e-07
5676                   	6.843837670887302e-06	4.187827743857229e-06	1.465235762718891e-05	3.697951790826253e-05	2.857995234411978e-07
5677                   	6.836014039290410e-06	4.182216945363049e-06	1.463197961967056e-05	3.692910625074450e-05	2.854575100506442e-07
5678                   	6.828199446908693e-06	4.176609249911800e-06	1.461164507893010e-05	3.687874055712380e-05	2.851157651692322e-07
5679                   	6.820393580302452e-06	4.171005742331404e-06	1.459134298260216e-05	3.682842080017792e-05	2.847742856382658e-07
5680                   	6.812596052922412e-06	4.165401216807607e-06	1.457106565662606e-05	3.677814646753260e-05	2.844331014941240e-07
5681                   	6.804807581883730e-06	4.159794997058316e-06	1.455081347930165e-05	3.672791834901512e-05	2.840921818526939e-07
5682                   	6.797027647536195e-06	4.154188146196238e-06	1.453058730604314e-05	3.667773566234988e-05	2.837515632281170e-07
5683                   	6.789255954453165e-06	4.148582294259923e-06	1.451038397854598e-05	3.662759845463749e-05	2.834112552073813e-07
5684                   	6.781491846050130e-06	4.142977931595017e-06	1.449020325183277e-05	3.657750748581593e-05	2.830712416404004e-07
5685                   	6.773735743496430e-06	4.137373450776078e-06	1.446808468382038e-05	3.652746407914465e-05	2.827315150379597e-07
5686                   	6.765987982509262e-06	4.131770738190229e-06	1.444525311509416e-05	3.647746682935248e-05	2.823921057113513e-07
5687                   	6.758249263035550e-06	4.126170585843435e-06	1.442643802852906e-05	3.642751494623042e-05	2.820530122347693e-07
5688                   	6.750518586487395e-06	4.120569818077479e-06	1.440727659813407e-05	3.637760840549280e-05	2.817142294237164e-07
5689                   	6.742797270475353e-06	4.114969291546041e-06	1.438784235383154e-05	3.632774707030608e-05	2.813757474741717e-07
5690                   	6.735084038939309e-06	4.109369615591505e-06	1.436826077672992e-05	3.627793103268145e-05	2.810375524797028e-07
5691                   	6.727379224546011e-06	4.103770762723517e-06	1.434863826036107e-05	3.622816232610763e-05	2.806996510613989e-07
5692                   	6.719682792692984e-06	4.098177701102739e-06	1.432900652685261e-05	3.617844041688751e-05	2.803620308995918e-07
5693                   	6.711994517571821e-06	4.092587625768540e-06	1.430934755611825e-05	3.612876542760246e-05	2.800246711066408e-07
5694                   	6.704313797701596e-06	4.086998900675981e-06	1.428965635964594e-05	3.607913609881137e-05	2.796875777610937e-07
5695                   	6.696641443941841e-06	4.081412079445788e-06	1.426992799757551e-05	3.602955253699077e-05	2.793508100403153e-07
5696                   	6.688977219525786e-06	4.075825425990833e-06	1.425017313503473e-05	3.598001569912351e-05	2.790143632547429e-07
5697                   	6.681321511908264e-06	4.070241351258820e-06	1.423041889645148e-05	3.593052583832661e-05	2.786781769346588e-07
5698                   	6.673674710287575e-06	4.064660549748474e-06	1.421068503844979e-05	3.588108179863600e-05	2.783423309070215e-07
5699                   	6.666036026889163e-06	4.059080488531648e-06	1.419097836328555e-05	3.583168424264990e-05	2.780068021964919e-07
5700                   	6.658405055298153e-06	4.053504933085556e-06	1.417129089135125e-05	3.578233216839405e-05	2.776715450296754e-07
5701                   	6.650782676001529e-06	4.047932993576701e-06	1.415161518824517e-05	3.573302552556103e-05	2.773365701364646e-07
5702                   	6.643170028539376e-06	4.042365129762305e-06	1.413194534722911e-05	3.568376408236010e-05	2.770019372564624e-07
5703                   	6.635565539509255e-06	4.036797563116612e-06	1.411228612049895e-05	3.563454883092300e-05	2.766676422459904e-07
5704                   	6.627968794270611e-06	4.031231723882660e-06	1.409264023805787e-05	3.558538172839532e-05	2.763336680728643e-07
5705                   	6.620381305436741e-06	4.025666141333158e-06	1.407301684409787e-05	3.553626144020487e-05	2.760000095653131e-07
5706                   	6.612802323672673e-06	4.020101393164384e-06	1.405341757067003e-05	3.548718728163462e-05	2.756666328340656e-07
5707                   	6.605230828882169e-06	4.014540714664108e-06	1.403383850555553e-05	3.543815889097453e-05	2.753335448902724e-07
5708                   	6.597667260282198e-06	4.008981234644433e-06	1.401427924316740e-05	3.538917773895900e-05	2.750007624452685e-07
5709                   	6.590111414204837e-06	4.003421032504987e-06	1.399475077096879e-05	3.534024208679055e-05	2.746682964324429e-07
5710                   	6.582563194870954e-06	3.997859579381038e-06	1.396754746024343e-05	3.529135778759134e-05	2.743360958727524e-07
5711                   	6.575023475837563e-06	3.992296555490986e-06	1.394461098154730e-05	3.524252241881058e-05	2.740041887104210e-07
5712                   	6.567493163404112e-06	3.986731920285662e-06	1.393256674182844e-05	3.519373309134657e-05	2.736725553893534e-07
5713                   	6.559970874773872e-06	3.981169887557440e-06	1.391322568229729e-05	3.514499063340455e-05	2.733411977328472e-07
5714                   	6.552457359062068e-06	3.975609790641581e-06	1.389239800144291e-05	3.509629351771562e-05	2.730101078389267e-07
5715                   	6.544952029791930e-06	3.970052352678244e-06	1.387296391295163e-05	3.504764405232933e-05	2.726793281992097e-07
5716                   	6.537454149412118e-06	3.964494158195782e-06	1.385360958187650e-05	3.499904378253785e-05	2.723488204421400e-07
5717                   	6.529964513307387e-06	3.958934578922795e-06	1.383454595064234e-05	3.495048972504525e-05	2.720185982539377e-07
5718                   	6.522482652036299e-06	3.953375195850343e-06	1.381589266874765e-05	3.490198107674482e-05	2.716886695938449e-07
5719                   	6.515009004766577e-06	3.947815837510587e-06	1.379720707433934e-05	3.485351793802876e-05	2.713591094747213e-07
5720                   	6.507543653427137e-06	3.942257831558358e-06	1.377839810256582e-05	3.480510070269391e-05	2.710298425913220e-07
5721                   	6.500086412951658e-06	3.936699523430956e-06	1.375948592303529e-05	3.475672975999887e-05	2.707008656090034e-07
5722                   	6.492637586469883e-06	3.931140553714241e-06	1.374054183700586e-05	3.470840539719922e-05	2.703722080750725e-07
5723                   	6.485196103827219e-06	3.925582186763320e-06	1.372161984903636e-05	3.466012719331445e-05	2.700438604345591e-07
5724                   	6.477763098060664e-06	3.920023653461745e-06	1.370272524711512e-05	3.461189501994811e-05	2.697158625748585e-07
5725                   	6.470337678061672e-06	3.914464693993137e-06	1.368383404614315e-05	3.456370908688384e-05	2.693882135462313e-07
5726                   	6.462919528633774e-06	3.908907270785944e-06	1.366493052962053e-05	3.451556987141964e-05	2.690608715691228e-07
5727                   	6.455509451147207e-06	3.903351767203690e-06	1.364601465922448e-05	3.446747640611578e-05	2.687338590848447e-07
5728                   	6.448107570111573e-06	3.897796467571939e-06	1.362710431681069e-05	3.441942848798076e-05	2.684072081500347e-07
5729                   	6.440713972477141e-06	3.892242769993555e-06	1.360821656305272e-05	3.437142597369509e-05	2.680809161417092e-07
5730                   	6.433328356078314e-06	3.886688685580433e-06	1.358935716368174e-05	3.432346924780399e-05	2.677549579014985e-07
5731                   	6.425951443061162e-06	3.881135411921636e-06	1.357052276218747e-05	3.427555936028772e-05	2.674293415851364e-07
5732                   	6.418582226147110e-06	3.875583472218088e-06	1.355170101201010e-05	3.422769490714275e-05	2.671040365536226e-07
5733                   	6.411220933678244e-06	3.870032164986032e-06	1.353288727921368e-05	3.417987672921329e-05	2.667790538753430e-07
5734                   	6.403868773007483e-06	3.864482213323311e-06	1.351409177909860e-05	3.413210402837070e-05	2.664543923986988e-07
5735                   	6.396523981121012e-06	3.858933238706754e-06	1.349530923205053e-05	3.408437792284281e-05	2.661300618914063e-07
5736                   	6.389187248776566e-06	3.853386476908870e-06	1.347654336448535e-05	3.403669747719846e-05	2.658060406533458e-07
5737                   	6.381857931198121e-06	3.847840545066072e-06	1.345779659315934e-05	3.398906269069896e-05	2.654823576379455e-07
5738                   	6.374536030987401e-06	3.842293855656345e-06	1.343906771251033e-05	3.394147489917340e-05	2.651589842674643e-07
5739                   	6.367221654353837e-06	3.836744455070497e-06	1.342048818134687e-05	3.389393485375745e-05	2.648359954520736e-07
5740                   	6.359917012331022e-06	3.831201953045253e-06	1.340135506528513e-05	3.384644022766590e-05	2.645132908152248e-07
5741                   	6.352620611936736e-06	3.825658645640619e-06	1.338301201463151e-05	3.379899203902418e-05	2.641909548296077e-07
5742                   	6.345332188843333e-06	3.820111956701508e-06	1.336471491223935e-05	3.375159065469269e-05	2.638689968292362e-07
5743                   	6.338051447547649e-06	3.814572283908832e-06	1.334536734519140e-05	3.370423468440056e-05	2.635472565888186e-07
5744                   	6.330780796832454e-06	3.809032672438698e-06	1.332697123302219e-05	3.365692412602623e-05	2.632259034425774e-07
5745                   	6.323519725950153e-06	3.803499783599198e-06	1.330825136439293e-05	3.360965898828278e-05	2.629047554661840e-07
5746                   	6.316267949535679e-06	3.797965698325895e-06	1.329004603096824e-05	3.356243917143854e-05	2.625839644580544e-07
5747                   	6.309024150144030e-06	3.792433782729960e-06	1.327119829637100e-05	3.351526513377742e-05	2.622634496199939e-07
5748                   	6.301788336940947e-06	3.786906732506144e-06	1.325229418090850e-05	3.346813732466885e-05	2.619431763952075e-07
5749                   	6.294562182430771e-06	3.781375572815937e-06	1.323433614267267e-05	3.342105537247060e-05	2.616232711340343e-07
5750                   	6.287344368958322e-06	3.775844542552960e-06	1.321560209142406e-05	3.337401996721703e-05	2.613036113751084e-07
5751                   	6.280135145632797e-06	3.770315596968467e-06	1.319676021751171e-05	3.332703159221260e-05	2.609842368753878e-07
5752                   	6.272933785299173e-06	3.764789424540330e-06	1.317838007514790e-05	3.328009057014114e-05	2.606651866350411e-07
5753                   	6.265740342335136e-06	3.759264729915286e-06	1.316010543623526e-05	3.323319649600827e-05	2.603464602600019e-07
5754                   	6.258555737295583e-06	3.753739923773405e-06	1.314159521008819e-05	3.318635019346132e-05	2.600280480267792e-07
5755                   	6.251378892181387e-06	3.748214795070811e-06	1.312298904290361e-05	3.313955404043682e-05	2.597099323366283e-07
5756                   	6.244209431025869e-06	3.742689394301039e-06	1.310450249296197e-05	3.309280435401239e-05	2.593921178487427e-07
5757                   	6.237049431589325e-06	3.737166834109113e-06	1.308612786186458e-05	3.304610012707096e-05	2.590746096529222e-07
5758                   	6.229897717674827e-06	3.731644251988360e-06	1.306775849907138e-05	3.299944187594697e-05	2.587574452785444e-07
5759                   	6.222753583643786e-06	3.726121251052286e-06	1.304935785984483e-05	3.295283089106100e-05	2.584405769142039e-07
5760                   	6.215618024688563e-06	3.720598357451292e-06	1.303095250668946e-05	3.290626821189365e-05	2.581240050185663e-07
5761                   	6.208490102510821e-06	3.715075130352072e-06	1.301257440631599e-05	3.285975301876089e-05	2.578077286984670e-07
5762                   	6.201369200841984e-06	3.709553644494234e-06	1.299422370337596e-05	3.281328389927941e-05	2.574918168051635e-07
5763                   	6.194256537906688e-06	3.704034367370370e-06	1.297588986478438e-05	3.276686030722921e-05	2.571762392061671e-07
5764                   	6.187152455129676e-06	3.698515283196999e-06	1.295756723851239e-05	3.272048344491078e-05	2.568609707358015e-07
5765                   	6.180057874603729e-06	3.692996474534911e-06	1.293926154468869e-05	3.267415325123528e-05	2.565459898361735e-07
5766                   	6.172972306642915e-06	3.687477313509667e-06	1.292097859299005e-05	3.262786909228512e-05	2.562313369562587e-07
5767                   	6.165894016181265e-06	3.681959690481294e-06	1.290271705941915e-05	3.258163162958187e-05	2.559170313557304e-07
5768                   	6.158823274988704e-06	3.676443808694812e-06	1.288447270379305e-05	3.253543944993235e-05	2.556030416006747e-07
5769                   	6.151760339714987e-06	3.670928058240275e-06	1.286624257971074e-05	3.248929291669590e-05	2.552893705853289e-07
5770                   	6.144705498833168e-06	3.665413133931692e-06	1.284802810239502e-05	3.244319337690842e-05	2.549760698673429e-07
5771                   	6.137658367021515e-06	3.659899777469229e-06	1.282982981037752e-05	3.239713984506087e-05	2.546630771558527e-07
5772                   	6.130618763903134e-06	3.654385633002717e-06	1.281164594020858e-05	3.235113163987383e-05	2.543504588661997e-07
5773                   	6.123587993421985e-06	3.648872804927053e-06	1.279347922073433e-05	3.230516898330101e-05	2.540381454217581e-07
5774                   	6.116565679351698e-06	3.643361525441097e-06	1.277533189720918e-05	3.225925195002233e-05	2.537261057804812e-07
5775                   	6.109551049737888e-06	3.637850402733689e-06	1.275720265773628e-05	3.221338098361179e-05	2.534143475838213e-07
5776                   	6.102543351074665e-06	3.632341982198830e-06	1.273909135774016e-05	3.216755651608922e-05	2.531028791064310e-07
5777                   	6.095542730978161e-06	3.626834702345888e-06	1.272099594884865e-05	3.212177915706006e-05	2.527917198747387e-07
5778                   	6.088550164087228e-06	3.621327725286130e-06	1.270291810593552e-05	3.207604786205132e-05	2.524808447903147e-07
5779                   	6.081566133056475e-06	3.615821156156568e-06	1.268485607904338e-05	3.203036352170839e-05	2.521702477241345e-07
5780                   	6.074590489917280e-06	3.610315564298628e-06	1.266681106551705e-05	3.198472490343003e-05	2.518599940112783e-07
5781                   	6.067622403551407e-06	3.604811522156800e-06	1.264878288289994e-05	3.193913285026945e-05	2.515500407541302e-07
