# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
2615                   	4.729015031714960e-05	2.293605952345365e-04	3.421825518536416e-04	6.172224493203650e-05	1.225517178875890e-06
2616                   	4.721611765827114e-05	2.286918917214277e-04	3.410848536761104e-04	6.165489261273442e-05	1.224694631662918e-06
2617                   	4.714202618511015e-05	2.280211510955813e-04	3.399632502739101e-04	6.158777596558769e-05	1.223866730749978e-06
2618                   	4.706757314955295e-05	2.273485493874924e-04	3.388526642912808e-04	6.152087006293041e-05	1.223034047823695e-06
2619                   	4.699283004014588e-05	2.266757175002694e-04	3.377006932225410e-04	6.145384211368801e-05	1.222196796948583e-06
2620                   	4.691785440793793e-05	2.260014120264547e-04	3.365649637582362e-04	6.138741016208983e-05	1.221363846177277e-06
2621                   	4.684322097254462e-05	2.253261170106504e-04	3.355610261544670e-04	6.132131826139364e-05	1.220516301772627e-06
2622                   	4.676909854608052e-05	2.246495880211244e-04	3.345003165065288e-04	6.125524648166456e-05	1.219665265498346e-06
2623                   	4.669497199200434e-05	2.239715778581933e-04	3.334249527092966e-04	6.118919016613959e-05	1.218805008820533e-06
2624                   	4.662088056875399e-05	2.232932536603050e-04	3.323522928991434e-04	6.112305982946456e-05	1.217936414560294e-06
2625                   	4.654654469056319e-05	2.226150793607841e-04	3.313675618935283e-04	6.105704898238487e-05	1.217055722971298e-06
2626                   	4.647246811572246e-05	2.219368092000258e-04	3.304551826170415e-04	6.099090189608814e-05	1.216168020291789e-06
2627                   	4.639850529241776e-05	2.212587486791843e-04	3.295071511009587e-04	6.092487286742508e-05	1.215283611469341e-06
2628                   	4.632439877726643e-05	2.205799307449333e-04	3.285320650577250e-04	6.085937179993731e-05	1.214388990095853e-06
2629                   	4.625050084130082e-05	2.199000956913740e-04	3.275507562581150e-04	6.079368835147632e-05	1.213471126175127e-06
2630                   	4.617662762980434e-05	2.192197452965087e-04	3.265885846173759e-04	6.072833499835959e-05	1.212555388700563e-06
2631                   	4.610293084119014e-05	2.185380025729729e-04	3.255983744747160e-04	6.066313534969196e-05	1.211632042284121e-06
2632                   	4.602929262824685e-05	2.178557739521435e-04	3.246768131978158e-04	6.059759071593067e-05	1.210699168548734e-06
2633                   	4.595585427264326e-05	2.171732594986285e-04	3.238392508310956e-04	6.053177832663594e-05	1.209755226430826e-06
2634                   	4.588226546718552e-05	2.164890915272963e-04	3.229828837592136e-04	6.046616309003233e-05	1.208807902278893e-06
2635                   	4.580865658886389e-05	2.158047043191123e-04	3.220412112356281e-04	6.040038193707182e-05	1.207853599429640e-06
2636                   	4.573525098873773e-05	2.151201415024339e-04	3.211031600725114e-04	6.033501115830950e-05	1.206898867688420e-06
2637                   	4.566215103844676e-05	2.144351363221029e-04	3.202033680904358e-04	6.026995890853403e-05	1.205939185536136e-06
2638                   	4.558897228057286e-05	2.137496990205356e-04	3.193574247668468e-04	6.020565623198029e-05	1.204952553219905e-06
2639                   	4.551571728142219e-05	2.130653478401154e-04	3.184906052999498e-04	6.014189248542776e-05	1.203987800559139e-06
